Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Reaction,Rate,Net.Reaction.Rate
CB05,288,6.68845978601951e-10,97271648,PAN = UNITY,-5119235,14399952
CB05,288,6.68845978601951e-10,97271648,PANX = UNITY,-4467466.5,14399952
CB05,288,6.68845978601951e-10,97271648,Others,-49390.271484375,14399952
CB05,288,6.68845978601951e-10,97271648,HO2 + NO2 = HO2NO2,191370464,14399952
CB05,288,6.68845978601951e-10,97271648,C2O3 + NO2 = PAN,28311476,14399952
CB05,288,6.68845978601951e-10,97271648,CXO3 + NO2 = PANX,25443918,14399952
CB05,288,7.05960401248262e-10,102158216,HO2NO2 = HO2 + NO2,-200421440,15098755
CB05,288,7.05960401248262e-10,102158216,PAN = C2O3 + NO2,-16681861,15098755
CB05,288,7.05960401248262e-10,102158216,PANX = CXO3 + NO2,-14942301,15098755
CB05,288,7.05960401248262e-10,102158216,PAN = UNITY,-5364858,15098755
CB05,288,7.05960401248262e-10,102158216,PANX = UNITY,-4693940,15098755
CB05,288,7.05960401248262e-10,102158216,Others,-53793.07421875,15098755
CB05,288,7.05960401248262e-10,102158216,HO2 + NO2 = HO2NO2,200857072,15098755
CB05,288,7.05960401248262e-10,102158216,C2O3 + NO2 = PAN,29678670,15098755
CB05,288,7.05960401248262e-10,102158216,CXO3 + NO2 = PANX,26721196,15098755
CB05,288,7.43798522773176e-10,107101176,HO2NO2 = HO2 + NO2,-209855952,15806643
CB05,288,7.43798522773176e-10,107101176,PAN = C2O3 + NO2,-17459816,15806643
CB05,288,7.43798522773176e-10,107101176,PANX = CXO3 + NO2,-15675088,15806643
CB05,288,7.43798522773176e-10,107101176,PAN = UNITY,-5612231,15806643
CB05,288,7.43798522773176e-10,107101176,PANX = UNITY,-4924747.5,15806643
CB05,288,7.43798522773176e-10,107101176,Others,-58385.662109375,15806643
CB05,288,7.43798522773176e-10,107101176,HO2 + NO2 = HO2NO2,210313008,15806643
CB05,288,7.43798522773176e-10,107101176,C2O3 + NO2 = PAN,31057502,15806643
CB05,288,7.43798522773176e-10,107101176,CXO3 + NO2 = PANX,28022196,15806643
CB05,288,7.82363285267706e-10,112097248,HO2NO2 = HO2 + NO2,-219246640,16522594
CB05,288,7.82363285267706e-10,112097248,PAN = C2O3 + NO2,-18243564,16522594
CB05,288,7.82363285267706e-10,112097248,PANX = CXO3 + NO2,-16419950,16522594
CB05,288,7.82363285267706e-10,112097248,PAN = UNITY,-5861016,16522594
CB05,288,7.82363285267706e-10,112097248,PANX = UNITY,-5159379.5,16522594
