Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
MCMv3.2,289.5,2.4140534016226e-10,34420104,4979045.5
MCMv3.2,289.5,2.73285505336673e-10,38278812,5419368
MCMv3.2,289.5,3.06269176686413e-10,42237616,5873508
MCMv3.2,289.5,3.403369808197e-10,46294844,6342550
MCMv3.2,289.5,3.75469988433963e-10,50448576,6827102.5
MCMv3.2,289.5,4.11658651611191e-10,54696660,7327925
MCMv3.2,289.5,4.48887260695585e-10,59036708,7845099
MCMv3.2,289.5,4.8714204892164e-10,63465992,8378681
MCMv3.2,289.5,5.26409305035003e-10,67981560,8928464
MCMv3.2,289.5,5.66675539825923e-10,72580392,9494125
MCMv3.2,289.5,6.07927319595802e-10,77259256,10075063
MCMv3.2,289.5,6.50151099623741e-10,82014784,10670781
MCMv3.2,289.5,6.93333335188839e-10,86843680,11280410
MCMv3.2,289.5,7.37460537081347e-10,91742528,11903081
MCMv3.2,289.5,7.82519160580364e-10,96707904,12537793
MCMv3.2,289.5,8.28496105054199e-10,101736360,13183629
MCMv3.2,289.5,8.75378991516129e-10,106824776,13839471
MCMv3.2,289.5,9.23156606713604e-10,111969728,14504103
MCMv3.2,289.5,9.71818958639403e-10,117168344,15176396
MCMv3.2,289.5,1.02135766510969e-09,122417616,15855142
MCMv3.2,289.5,1.07176167940537e-09,127714536,16538932
MCMv3.2,289.5,1.12302356303218e-09,133056464,17226756
MCMv3.2,289.5,1.17514442621314e-09,138440912,17917246
MCMv3.2,289.5,1.22812071623457e-09,143865648,18609280
MCMv3.2,289.5,1.28195043469503e-09,149328336,19301824
MCMv3.2,289.5,1.33663202728229e-09,154826896,19993572
MCMv3.2,289.5,1.39216649319707e-09,160359728,20683534
MCMv3.2,289.5,1.44855016870338e-09,165924688,21370542
MCMv3.2,289.5,1.50578571833648e-09,171520192,22053740
MCMv3.2,289.5,1.56387425231941e-09,177144896,22732064
MCMv3.2,289.5,1.62281754700899e-09,182797024,23404710
MCMv3.2,289.5,1.68261737876207e-09,188475520,24070724
MCMv3.2,289.5,1.74327552393549e-09,194179088,24729470
MCMv3.2,289.5,1.80478454403499e-09,199906576,25379874
MCMv3.2,289.5,1.86715265471094e-09,205656416,26021582
MCMv3.2,289.5,1.93038518503386e-09,211428112,26653830
MCMv3.2,289.5,1.99448280113756e-09,217220320,27276036
MCMv3.2,289.5,2.05944683528969e-09,223032080,27887432
MCMv3.2,289.5,2.12527750953484e-09,228862448,28488064
MCMv3.2,289.5,2.19197460182841e-09,234710352,29077024
MCMv3.2,289.5,2.2256481102545e-09,237640736,29367150
MCMv3.2,289.5,2.9451223682031e-09,296975584,34492492
MCMv3.2,289.5,3.75160702503763e-09,357227904,38279960
MCMv3.2,289.5,4.62956517566226e-09,417841120,40834492
MCMv3.2,289.5,5.56318413558188e-09,478388512,42372580
MCMv3.2,289.5,6.53642073800142e-09,538541888,43123404
MCMv3.2,289.5,7.53555440269338e-09,598072448,43289616
MCMv3.2,289.5,8.54952819651089e-09,656821248,43033656
MCMv3.2,289.5,9.56964729681431e-09,714679488,42479796
MCMv3.2,289.5,1.05895168189818e-08,771593344,41723776
MCMv3.2,289.5,1.16043663567211e-08,827540736,40835716
MCMv3.2,289.5,1.26106076692167e-08,882510784,39865928
MCMv3.2,289.5,1.36058337929512e-08,936515584,38851116
MCMv3.2,289.5,1.45882683710852e-08,989569792,37817316
MCMv3.2,289.5,1.55566528547979e-08,1041691584,36782132
MCMv3.2,289.5,1.65101958771174e-08,1092910208,35759888
MCMv3.2,289.5,1.74484355852655e-08,1143251712,34757912
MCMv3.2,289.5,1.83711605927783e-08,1192742144,33781596
MCMv3.2,289.5,1.92783318198053e-08,1241408512,32834878
MCMv3.2,289.5,2.01699865698401e-08,1289276928,31919624
MCMv3.2,289.5,2.10462474115047e-08,1336373888,31036872
MCMv3.2,289.5,2.19072529006326e-08,1382727168,30187562
MCMv3.2,289.5,2.27532712671064e-08,1428358528,29371198
MCMv3.2,289.5,2.35846258078709e-08,1473288960,28587016
MCMv3.2,289.5,2.44016273853731e-08,1517542784,27833976
MCMv3.2,289.5,2.52045602167073e-08,1561142784,27111608
MCMv3.2,289.5,2.59937991131665e-08,1604108800,26418704
MCMv3.2,289.5,2.67697330968986e-08,1646455168,25753098
MCMv3.2,289.5,2.7532699675703e-08,1688200192,25114070
MCMv3.2,289.5,2.82830594500183e-08,1729362688,24501490
MCMv3.2,289.5,2.90209722919599e-08,1769962752,23914820
MCMv3.2,289.5,2.97469711085796e-08,1810011136,23351158
MCMv3.2,289.5,3.0461393407677e-08,1849521280,22809392
MCMv3.2,289.5,3.11645393935578e-08,1888509568,22287712
MCMv3.2,289.5,3.18565795964787e-08,1926993408,21789368
MCMv3.2,289.5,3.25380540289189e-08,1964981632,21309784
MCMv3.2,289.5,3.32093499366692e-08,2002484352,20848490
MCMv3.2,289.5,3.38706271918454e-08,2039514240,20403760
MCMv3.2,289.5,3.45224258069265e-08,2076081280,19975612
MCMv3.2,289.5,3.51648345997546e-08,2112198656,19562312
MCMv3.2,289.5,3.57981200238555e-08,2147875584,19163748
MCMv3.2,290,5.0857868263976e-12,1433915.5,345559.25
MCMv3.2,290,1.80034650382188e-11,4349786,986486.9375
MCMv3.2,290,3.48633205637938e-11,7346753,1542507.25
MCMv3.2,290,5.50425850731617e-11,10438325,2030082.875
MCMv3.2,290,7.77268388540975e-11,13630507,2474968.25
MCMv3.2,290,1.02296220105824e-10,16925788,2896639.25
MCMv3.2,290,1.2842527041812e-10,20325284,3307919
MCMv3.2,290,1.55927326606076e-10,23829506,3717284
MCMv3.2,290,1.84688708770864e-10,27438386,4130430.75
MCMv3.2,290,2.14750855986878e-10,31151670,4551337.5
MCMv3.2,290,2.46021453209622e-10,34968636,4982883.5
MCMv3.2,290,2.78436218525968e-10,38888288,5427105
MCMv3.2,290,3.11968478827751e-10,42909140,5885444
MCMv3.2,290,3.46598555411859e-10,47029584,6359004
MCMv3.2,290,3.82306603041727e-10,51247504,6848370.5
MCMv3.2,290,4.19082907265889e-10,55560736,7354246.5
MCMv3.2,290,4.56911120050307e-10,59966784,7876695
MCMv3.2,290,4.95776641962209e-10,64462788,8415796
MCMv3.2,290,5.35665400924756e-10,69045752,8971245
MCMv3.2,290,5.76563241594386e-10,73712512,9542742
MCMv3.2,290,6.18456175160986e-10,78459832,10129669
MCMv3.2,290,6.61330101792146e-10,83284176,10731362
MCMv3.2,290,7.05171143700056e-10,88182312,11347100
MCMv3.2,290,7.49965256563456e-10,93150728,11975880
MCMv3.2,290,7.95698562594538e-10,98185864,12616767
MCMv3.2,290,8.42357572583552e-10,103284248,13268723
MCMv3.2,290,8.8992974101032e-10,108442800,13930623
MCMv3.2,290,9.38403577066538e-10,113658104,14601183
