Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
CB05,290,2.61090278286247e-08,1621406336,24014764
CB05,290,2.69016400267219e-08,1664085248,23271128
CB05,290,2.76803220344846e-08,1706155008,22561752
CB05,290,2.84454912957699e-08,1747633536,21884880
CB05,290,2.91976576249908e-08,1788539008,21246904
CB05,290,2.99371194500964e-08,1828887552,20640218
CB05,290,3.06642675695912e-08,1868688384,20063032
CB05,290,3.13794927819799e-08,1907962752,19518206
CB05,290,3.20833066780324e-08,1946723456,18998266
CB05,290,3.27759153151419e-08,1984981888,18499718
CB05,290,3.34576633065353e-08,2022748416,18021088
CB05,290,3.41288952654395e-08,2060035456,17560844
CB05,290,3.47899060670898e-08,2096855168,17118142
CB05,290,3.54410687464224e-08,2133217920,16692728
CB05,290,3.60827847600831e-08,2169140736,16287720
CB05,290.5,2.84626055363502e-12,1456051.125,574698.875
CB05,290.5,1.27870795549323e-11,4417583,1472489.5
CB05,290.5,2.78041790979788e-11,7462139.5,2130564.75
CB05,290.5,4.63645302706261e-11,10603207,2656241.75
CB05,290.5,6.7275726656213e-11,13846722,3115974.75
CB05,290.5,8.99120916608709e-11,17195108,3546850.25
CB05,290.5,1.13835163517706e-10,20649368,3969170.5
CB05,290.5,1.38831737772627e-10,24209962,4394578
CB05,290.5,1.64777774758207e-10,27876796,4830104.5
CB05,290.5,1.91599333621006e-10,31649466,5279758
CB05,290.5,2.19250562150108e-10,35527236,5745983.5
CB05,290.5,2.47701720246241e-10,39509000,6230342
CB05,290.5,2.76930978149181e-10,43593236,6733778.5
CB05,290.5,3.06925707072025e-10,47778176,7256684.5
CB05,290.5,3.37672584338478e-10,52061576,7799459
CB05,290.5,3.69169916858425e-10,56441340,8361876
CB05,290.5,4.01411237582749e-10,60914708,8943711
CB05,290.5,4.34392827264318e-10,65478788,9544685
CB05,290.5,4.68111827078843e-10,70130560,10164167
CB05,290.5,5.02616392950017e-10,74866664,10801168
CB05,290.5,5.37977717929294e-10,79683840,11454756
CB05,290.5,5.74085667892632e-10,84578584,12123916
CB05,290.5,6.10938855061249e-10,89547352,12808110
CB05,290.5,6.48535447567156e-10,94586736,13506044
CB05,290.5,6.86876611144527e-10,99693072,14216597
CB05,290.5,7.25963067438329e-10,104863008,14938740
CB05,290.5,7.65796037693889e-10,110093168,15671364
CB05,290.5,8.06377242756895e-10,115380376,16413771
CB05,290.5,8.47709291651455e-10,120721384,17164670
CB05,290.5,8.89795348513189e-10,126113224,17922336
CB05,290.5,9.32638966055777e-10,131553096,18685804
CB05,290.5,9.76243308414837e-10,137038272,19453796
CB05,290.5,1.0206094858134e-09,142566096,20225216
CB05,290.5,1.06574749025867e-09,148134416,20998940
CB05,290.5,1.11166287286579e-09,153741120,21774358
CB05,290.5,1.15836262803981e-09,159384016,22549342
CB05,290.5,1.20585408325269e-09,165061504,23322882
CB05,290.5,1.25414323370876e-09,170771504,24093534
CB05,290.5,1.30323951630373e-09,176512512,24860464
CB05,290.5,1.3531515907772e-09,182282944,25622912
CB05,290.5,1.40388856095797e-09,188081472,26379814
CB05,290.5,1.45545997476404e-09,193906752,27130236
CB05,290.5,1.50787482500192e-09,199757616,27872706
CB05,290.5,1.56114321470113e-09,205632640,28606766
