Mechanism,Temperature,NOx.Emissions,Rate.Constant
MCMv3.2,290.5,165061504,9.08490546862595e-05
MCMv3.2,290.5,170771504,9.08490546862595e-05
MCMv3.2,290.5,176512512,9.08490546862595e-05
MCMv3.2,290.5,182282944,9.08490546862595e-05
MCMv3.2,290.5,188081472,9.08490546862595e-05
MCMv3.2,290.5,193906752,9.08490546862595e-05
MCMv3.2,290.5,199757616,9.08490546862595e-05
MCMv3.2,290.5,205632656,9.08490546862595e-05
MCMv3.2,290.5,211530928,9.08490546862595e-05
MCMv3.2,290.5,217451136,9.08490546862595e-05
MCMv3.2,290.5,223392336,9.08490546862595e-05
MCMv3.2,290.5,229353312,9.08490546862595e-05
MCMv3.2,290.5,235333232,9.08490546862595e-05
MCMv3.2,290.5,241331344,9.08490546862595e-05
MCMv3.2,290.5,244336848,9.08490546862595e-05
MCMv3.2,290.5,305186944,9.08490546862595e-05
MCMv3.2,290.5,366962624,9.08490546862595e-05
MCMv3.2,290.5,429088384,9.08490546862595e-05
MCMv3.2,290.5,491122848,9.08490546862595e-05
MCMv3.2,290.5,552727168,9.08490546862595e-05
MCMv3.2,290.5,613664384,9.08490546862595e-05
MCMv3.2,290.5,673770560,9.08490546862595e-05
MCMv3.2,290.5,732935104,9.08490546862595e-05
MCMv3.2,290.5,791106624,9.08490546862595e-05
MCMv3.2,290.5,848259648,9.08490546862595e-05
MCMv3.2,290.5,904389888,9.08490546862595e-05
MCMv3.2,290.5,959507136,9.08490546862595e-05
MCMv3.2,290.5,1013630784,9.08490546862595e-05
MCMv3.2,290.5,1066780608,9.08490546862595e-05
MCMv3.2,290.5,1118986880,9.08490546862595e-05
MCMv3.2,290.5,1170277760,9.08490546862595e-05
MCMv3.2,290.5,1220685312,9.08490546862595e-05
MCMv3.2,290.5,1270240000,9.08490546862595e-05
MCMv3.2,290.5,1318966144,9.08490546862595e-05
MCMv3.2,290.5,1366895232,9.08490546862595e-05
MCMv3.2,290.5,1414052736,9.08490546862595e-05
